tanggal,result,as,kop,kepala,ekor
2007-01-03,4258,4,2,5,8
2007-01-04,0165,0,1,6,5
2007-01-05,8377,8,3,7,7
2007-01-06,0162,0,1,6,2
2007-01-07,6754,6,7,5,4
2007-01-08,8972,8,9,7,2
2007-01-09,5291,5,2,9,1
2007-01-10,4382,4,3,8,2
2007-01-11,9623,9,6,2,3
2007-01-12,1470,1,4,7,0
2007-01-13,6839,6,8,3,9
2007-01-14,7458,7,4,5,8
2007-01-15,8272,8,2,7,2
2007-01-16,3839,3,8,3,9
2007-01-17,2701,2,7,0,1
2007-01-18,5491,5,4,9,1
2007-01-19,1105,1,1,0,5
2007-01-20,5078,5,0,7,8
2007-01-21,7386,7,3,8,6
2007-01-22,6798,6,7,9,8
2007-01-23,5931,5,9,3,1
2007-01-24,4187,4,1,8,7
2007-01-25,2399,2,3,9,9
2007-01-26,1475,1,4,7,5
2007-01-27,9024,9,0,2,4
2007-01-28,6503,6,5,0,3
2007-01-29,3728,3,7,2,8
2007-01-30,8512,8,5,1,2
2007-01-31,0998,0,9,9,8
2007-02-01,3476,3,4,7,6
2007-02-02,0614,0,6,1,4
2007-02-03,8172,8,1,7,2
2007-02-04,4720,4,7,2,0
2007-02-05,5983,5,9,8,3
2007-02-06,7204,7,2,0,4
2007-02-07,8063,8,0,6,3
2007-02-08,3572,3,5,7,2
2007-02-09,2453,2,4,5,3
2007-02-10,0136,0,1,3,6
2007-02-11,5890,5,8,9,0
2007-02-12,2687,2,6,8,7
2007-02-13,7415,7,4,1,5
2007-02-14,0659,0,6,5,9
2007-02-15,9467,9,4,6,7
2007-02-16,8531,8,5,3,1
2007-02-17,6490,6,4,9,0
2007-02-18,1328,1,3,2,8
2007-02-19,0486,0,4,8,6
2007-02-20,0739,0,7,3,9
2007-02-21,3248,3,2,4,8
2007-02-22,1904,1,9,0,4
2007-02-23,4911,4,9,1,1
2007-02-24,8672,8,6,7,2
2007-02-25,0153,0,1,5,3
2007-02-26,9526,9,5,2,6
2007-02-27,0833,0,8,3,3
2007-02-28,2478,2,4,7,8
2007-03-01,6579,6,5,7,9
2007-03-02,3095,3,0,9,5
2007-03-03,2058,2,0,5,8
2007-03-04,7904,7,9,0,4
2007-03-05,5392,5,3,9,2
2007-03-06,4758,4,7,5,8
2007-03-07,3860,3,8,6,0
2007-03-08,0486,0,4,8,6
2007-03-09,1934,1,9,3,4
2007-03-10,8062,8,0,6,2
2007-03-11,7513,7,5,1,3
2007-03-12,2316,2,3,1,6
2007-03-13,4839,4,8,3,9
2007-03-14,1970,1,9,7,0
2007-03-15,3668,3,6,6,8
2007-03-16,9621,9,6,2,1
2007-03-17,7430,7,4,3,0
2007-03-18,0799,0,7,9,9
2007-03-19,1326,1,3,2,6
2007-03-20,3917,3,9,1,7
2007-03-21,1502,1,5,0,2
2007-03-22,6934,6,9,3,4
2007-03-23,5423,5,4,2,3
2007-03-24,8694,8,6,9,4
2007-03-25,7038,7,0,3,8
2007-03-26,4519,4,5,1,9
2007-03-27,0875,0,8,7,5
2007-03-28,4309,4,3,0,9
2007-03-29,3951,3,9,5,1
2007-03-30,1176,1,1,7,6
2007-03-31,9104,9,1,0,4
2007-04-01,7523,7,5,2,3
2007-04-02,1792,1,7,9,2
2007-04-03,6801,6,8,0,1
2007-04-04,2479,2,4,7,9
2007-04-05,7022,7,0,2,2
2007-04-06,9768,9,7,6,8
2007-04-07,5180,5,1,8,0
2007-04-08,6495,6,4,9,5
2007-04-09,8299,8,2,9,9
2007-04-10,8426,8,4,2,6
2007-04-11,5281,5,2,8,1
2007-04-12,7504,7,5,0,4
2007-04-13,2462,2,4,6,2
2007-04-14,5348,5,3,4,8
2007-04-15,0829,0,8,2,9
2007-04-16,9603,9,6,0,3
2007-04-17,2519,2,5,1,9
2007-04-18,1746,1,7,4,6
2007-04-19,2980,2,9,8,0
2007-04-20,8534,8,5,3,4
2007-04-21,9117,9,1,1,7
2007-04-22,3275,3,2,7,5
2007-04-23,6091,6,0,9,1
2007-04-24,4817,4,8,1,7
2007-04-25,0968,0,9,6,8
2007-04-26,1470,1,4,7,0
2007-04-27,0893,0,8,9,3
2007-04-28,1054,1,0,5,4
2007-04-29,9361,9,3,6,1
2007-04-30,4176,4,1,7,6
2007-05-01,7845,7,8,4,5
2007-05-02,6753,6,7,5,3
2007-05-03,5438,5,4,3,8
2007-05-04,6619,6,6,1,9
2007-05-05,1240,1,2,4,0
2007-05-06,6084,6,0,8,4
2007-05-07,5412,5,4,1,2
2007-05-08,0135,0,1,3,5
2007-05-09,3206,3,2,0,6
2007-05-10,8675,8,6,7,5
2007-05-11,0528,0,5,2,8
2007-05-12,4739,4,7,3,9
2007-05-13,4951,4,9,5,1
2007-05-14,2180,2,1,8,0
2007-05-15,5568,5,5,6,8
2007-05-16,8376,8,3,7,6
2007-05-17,9354,9,3,5,4
2007-05-18,0149,0,1,4,9
2007-05-19,8064,8,0,6,4
2007-05-20,1283,1,2,8,3
2007-05-21,3475,3,4,7,5
2007-05-22,4205,4,2,0,5
2007-05-23,7382,7,3,8,2
2007-05-24,6793,6,7,9,3
2007-05-25,5826,5,8,2,6
2007-05-26,9551,9,5,5,1
2007-05-27,0327,0,3,2,7
2007-05-28,1962,1,9,6,2
2007-05-29,5074,5,0,7,4
2007-05-30,7133,7,1,3,3
2007-05-31,8496,8,4,9,6
2007-06-01,6524,6,5,2,4
2007-06-02,9475,9,4,7,5
2007-06-03,7982,7,9,8,2
2007-06-04,2187,2,1,8,7
2007-06-05,5601,5,6,0,1
2007-06-06,2069,2,0,6,9
2007-06-07,3245,3,2,4,5
2007-06-08,4108,4,1,0,8
2007-06-09,7206,7,2,0,6
2007-06-10,1524,1,5,2,4
2007-06-11,8760,8,7,6,0
2007-06-12,1685,1,6,8,5
2007-06-13,2754,2,7,5,4
2007-06-14,0538,0,5,3,8
2007-06-15,4569,4,5,6,9
2007-06-16,6824,6,8,2,4
2007-06-17,7930,7,9,3,0
2007-06-18,5249,5,2,4,9
2007-06-19,3754,3,7,5,4
2007-06-20,8699,8,6,9,9
2007-06-21,4627,4,6,2,7
2007-06-22,2948,2,9,4,8
2007-06-23,1529,1,5,2,9
2007-06-24,8635,8,6,3,5
2007-06-25,0478,0,4,7,8
2007-06-26,9618,9,6,1,8
2007-06-27,4286,4,2,8,6
2007-06-28,5729,5,7,2,9
2007-06-29,6095,6,0,9,5
2007-06-30,9408,9,4,0,8
2007-07-01,5986,5,9,8,6
2007-07-02,7301,7,3,0,1
2007-07-03,2619,2,6,1,9
2007-07-04,7140,7,1,4,0
2007-07-05,3821,3,8,2,1
2007-07-06,9832,9,8,3,2
2007-07-07,0976,0,9,7,6
2007-07-08,2405,2,4,0,5
2007-07-09,6347,6,3,4,7
2007-07-10,5792,5,7,9,2
2007-07-11,4036,4,0,3,6
2007-07-12,3475,3,4,7,5
2007-07-13,8209,8,2,0,9
2007-07-14,2621,2,6,2,1
2007-07-15,8415,8,4,1,5
2007-07-16,0724,0,7,2,4
2007-07-17,5681,5,6,8,1
2007-07-18,1142,1,1,4,2
2007-07-19,2957,2,9,5,7
2007-07-20,7861,7,8,6,1
2007-07-21,1974,1,9,7,4
2007-07-22,6329,6,3,2,9
2007-07-23,3845,3,8,4,5
2007-07-24,4026,4,0,2,6
2007-07-25,9723,9,7,2,3
2007-07-26,6954,6,9,5,4
2007-07-27,8961,8,9,6,1
2007-07-28,9452,9,4,5,2
2007-07-29,8619,8,6,1,9
2007-07-30,0782,0,7,8,2
2007-07-31,3269,3,2,6,9
2007-08-01,0406,0,4,0,6
2007-08-02,5083,5,0,8,3
2007-08-03,2670,2,6,7,0
2007-08-04,4310,4,3,1,0
2007-08-05,0441,0,4,4,1
2007-08-06,3711,3,7,1,1
2007-08-07,7930,7,9,3,0
2007-08-08,2687,2,6,8,7
2007-08-09,5495,5,4,9,5
2007-08-10,6053,6,0,5,3
2007-08-11,8537,8,5,3,7
2007-08-12,9305,9,3,0,5
2007-08-13,4578,4,5,7,8
2007-08-14,7232,7,2,3,2
2007-08-15,5755,5,7,5,5
2007-08-16,3591,3,5,9,1
2007-08-17,0495,0,4,9,5
2007-08-18,2670,2,6,7,0
2007-08-19,5018,5,0,1,8
2007-08-20,9486,9,4,8,6
2007-08-21,2754,2,7,5,4
2007-08-22,8915,8,9,1,5
2007-08-23,4801,4,8,0,1
2007-08-24,7314,7,3,1,4
2007-08-25,5968,5,9,6,8
2007-08-26,1746,1,7,4,6
2007-08-27,8320,8,3,2,0
2007-08-28,7562,7,5,6,2
2007-08-29,0836,0,8,3,6
2007-08-30,6553,6,5,5,3
2007-08-31,4380,4,3,8,0
2007-09-01,6925,6,9,2,5
2007-09-02,3825,3,8,2,5
2007-09-03,4298,4,2,9,8
2007-09-04,2086,2,0,8,6
2007-09-05,9507,9,5,0,7
2007-09-06,1896,1,8,9,6
2007-09-07,3728,3,7,2,8
2007-09-08,7209,7,2,0,9
2007-09-09,5817,5,8,1,7
2007-09-10,0392,0,3,9,2
2007-09-11,6450,6,4,5,0
2007-09-12,7932,7,9,3,2
2007-09-13,8210,8,2,1,0
2007-09-14,7053,7,0,5,3
2007-09-15,9386,9,3,8,6
2007-09-16,3162,3,1,6,2
2007-09-17,6978,6,9,7,8
2007-09-18,1320,1,3,2,0
2007-09-19,6087,6,0,8,7
2007-09-20,9518,9,5,1,8
2007-09-21,8902,8,9,0,2
2007-09-22,7417,7,4,1,7
2007-09-23,0434,0,4,3,4
2007-09-24,0138,0,1,3,8
2007-09-25,3947,3,9,4,7
2007-09-26,2514,2,5,1,4
2007-09-27,4053,4,0,5,3
2007-09-28,1306,1,3,0,6
2007-09-29,0211,0,2,1,1
2007-09-30,2986,2,9,8,6
2007-10-01,1872,1,8,7,2
2007-10-02,0429,0,4,2,9
2007-10-03,7236,7,2,3,6
2007-10-04,3417,3,4,1,7
2007-10-05,5190,5,1,9,0
2007-10-06,9624,9,6,2,4
2007-10-07,8273,8,2,7,3
2007-10-08,6316,6,3,1,6
2007-10-09,5742,5,7,4,2
2007-10-10,1408,1,4,0,8
2007-10-11,6123,6,1,2,3
2007-10-12,2685,2,6,8,5
2007-10-13,5900,5,9,0,0
2007-10-14,0735,0,7,3,5
2007-10-15,9012,9,0,1,2
2007-10-16,2849,2,8,4,9
2007-10-17,3579,3,5,7,9
2007-10-18,0614,0,6,1,4
2007-10-19,4953,4,9,5,3
2007-10-20,3892,3,8,9,2
2007-10-21,8513,8,5,1,3
2007-10-22,2191,2,1,9,1
2007-10-23,5389,5,3,8,9
2007-10-24,0274,0,2,7,4
2007-10-25,6819,6,8,1,9
2007-10-26,3056,3,0,5,6
2007-10-27,2480,2,4,8,0
2007-10-28,1974,1,9,7,4
2007-10-29,3705,3,7,0,5
2007-10-30,8410,8,4,1,0
2007-10-31,6354,6,3,5,4
2007-11-01,7548,7,5,4,8
2007-11-02,4291,4,2,9,1
2007-11-03,6907,6,9,0,7
2007-11-04,3426,3,4,2,6
2007-11-05,9364,9,3,6,4
2007-11-06,1672,1,6,7,2
2007-11-07,7118,7,1,1,8
2007-11-08,7324,7,3,2,4
2007-11-09,6047,6,0,4,7
2007-11-10,2293,2,2,9,3
2007-11-11,4973,4,9,7,3
2007-11-12,2411,2,4,1,1
2007-11-13,6284,6,2,8,4
2007-11-14,3792,3,7,9,2
2007-11-15,9188,9,1,8,8
2007-11-16,7806,7,8,0,6
2007-11-17,5921,5,9,2,1
2007-11-18,9314,9,3,1,4
2007-11-19,7403,7,4,0,3
2007-11-20,6145,6,1,4,5
2007-11-21,1563,1,5,6,3
2007-11-22,0497,0,4,9,7
2007-11-23,8412,8,4,1,2
2007-11-24,1745,1,7,4,5
2007-11-25,6258,6,2,5,8
2007-11-26,3670,3,6,7,0
2007-11-27,0862,0,8,6,2
2007-11-28,8375,8,3,7,5
2007-11-29,2782,2,7,8,2
2007-11-30,7169,7,1,6,9
2007-12-01,4953,4,9,5,3
2007-12-02,1361,1,3,6,1
2007-12-03,5194,5,1,9,4
2007-12-04,7954,7,9,5,4
2007-12-05,9379,9,3,7,9
2007-12-06,1608,1,6,0,8
2007-12-07,3819,3,8,1,9
2007-12-08,9637,9,6,3,7
2007-12-09,4082,4,0,8,2
2007-12-10,2988,2,9,8,8
2007-12-11,7163,7,1,6,3
2007-12-12,8954,8,9,5,4
2007-12-13,6430,6,4,3,0
2007-12-14,2675,2,6,7,5
2007-12-15,0812,0,8,1,2
2007-12-16,3647,3,6,4,7
2007-12-17,9062,9,0,6,2
2007-12-18,6825,6,8,2,5
2007-12-19,7545,7,5,4,5
2007-12-20,2136,2,1,3,6
2007-12-21,3094,3,0,9,4
2007-12-22,1628,1,6,2,8
2007-12-23,0239,0,2,3,9
2007-12-24,4776,4,7,7,6
2007-12-25,8012,8,0,1,2
2007-12-26,1490,1,4,9,0
2007-12-27,3840,3,8,4,0
2007-12-28,5286,5,2,8,6
2007-12-29,4362,4,3,6,2
2007-12-30,0521,0,5,2,1
2007-12-31,7989,7,9,8,9
2008-01-01,2436,2,4,3,6
2008-01-02,8367,8,3,6,7
2008-01-03,9618,9,6,1,8
2008-01-04,6743,6,7,4,3
2008-01-05,1826,1,8,2,6
2008-01-06,3580,3,5,8,0
2008-01-07,0957,0,9,5,7
2008-01-08,5769,5,7,6,9
2008-01-09,6803,6,8,0,3
2008-01-10,4516,4,5,1,6
2008-01-11,5348,5,3,4,8
2008-01-12,2479,2,4,7,9
2008-01-13,3106,3,1,0,6
2008-01-14,6398,6,3,9,8
2008-01-15,1045,1,0,4,5
2008-01-16,8570,8,5,7,0
2008-01-17,1639,1,6,3,9
2008-01-18,2751,2,7,5,1
2008-01-19,7116,7,1,1,6
2008-01-20,4319,4,3,1,9
2008-01-21,5832,5,8,3,2
2008-01-22,4703,4,7,0,3
2008-01-23,9678,9,6,7,8
2008-01-24,3804,3,8,0,4
2008-01-25,1096,1,0,9,6
2008-01-26,8324,8,3,2,4
2008-01-27,6953,6,9,5,3
2008-01-28,8749,8,7,4,9
2008-01-29,9528,9,5,2,8
2008-01-30,3172,3,1,7,2
2008-01-31,0984,0,9,8,4
2008-02-01,5281,5,2,8,1
2008-02-02,7522,7,5,2,2
2008-02-03,9014,9,0,1,4
2008-02-04,6837,6,8,3,7
2008-02-05,7916,7,9,1,6
2008-02-06,2365,2,3,6,5
2008-02-07,6225,6,2,2,5
2008-02-08,8590,8,5,9,0
2008-02-09,1063,1,0,6,3
2008-02-10,5194,5,1,9,4
2008-02-11,3087,3,0,8,7
2008-02-12,8195,8,1,9,5
2008-02-13,3855,3,8,5,5
2008-02-14,1908,1,9,0,8
2008-02-15,7821,7,8,2,1
2008-02-16,0682,0,6,8,2
2008-02-17,5039,5,0,3,9
2008-02-18,8594,8,5,9,4
2008-02-19,4670,4,6,7,0
2008-02-20,6213,6,2,1,3
2008-02-21,5182,5,1,8,2
2008-02-22,2574,2,5,7,4
