tanggal,result,as,kop,kepala,ekor
2019-07-21,4084,4,0,8,4
2019-07-22,2261,2,2,6,1
2019-07-23,9071,9,0,7,1
2019-07-24,5839,5,8,3,9
2019-07-25,4844,4,8,4,4
2019-07-26,5225,5,2,2,5
2019-07-27,3759,3,7,5,9
2019-07-28,6987,6,9,8,7
2019-07-29,6571,6,5,7,1
2019-07-30,3511,3,5,1,1
2019-07-31,8483,8,4,8,3
2019-08-01,4300,4,3,0,0
2019-08-02,1859,1,8,5,9
2019-08-03,9268,9,2,6,8
2019-08-04,5983,5,9,8,3
2019-08-05,9884,9,8,8,4
2019-08-06,4526,4,5,2,6
2019-08-07,9688,9,6,8,8
2019-08-08,5882,5,8,8,2
2019-08-09,1495,1,4,9,5
2019-08-10,6992,6,9,9,2
2019-08-11,3108,3,1,0,8
2019-08-12,2772,2,7,7,2
2019-08-13,5164,5,1,6,4
2019-08-14,5904,5,9,0,4
2019-08-15,7124,7,1,2,4
2019-08-16,6994,6,9,9,4
2019-08-17,2508,2,5,0,8
2019-08-18,7902,7,9,0,2
2019-08-19,3058,3,0,5,8
2019-08-20,0906,0,9,0,6
2019-08-21,1480,1,4,8,0
2019-08-22,1713,1,7,1,3
2019-08-23,4928,4,9,2,8
2019-08-24,9007,9,0,0,7
2019-08-25,6404,6,4,0,4
2019-08-26,0806,0,8,0,6
2019-08-27,3100,3,1,0,0
2019-08-28,8030,8,0,3,0
2019-08-29,9503,9,5,0,3
2019-08-30,6652,6,6,5,2
2019-08-31,6723,6,7,2,3
2019-09-01,8664,8,6,6,4
2019-09-02,6748,6,7,4,8
2019-09-03,3809,3,8,0,9
2019-09-04,1941,1,9,4,1
2019-09-05,5203,5,2,0,3
2019-09-06,3119,3,1,1,9
2019-09-07,7617,7,6,1,7
2019-09-08,3850,3,8,5,0
2019-09-09,3594,3,5,9,4
2019-09-10,0379,0,3,7,9
2019-09-11,0585,0,5,8,5
2019-09-12,4995,4,9,9,5
2019-09-13,3088,3,0,8,8
2019-09-14,3400,3,4,0,0
2019-09-15,8948,8,9,4,8
2019-09-16,5043,5,0,4,3
2019-09-17,6246,6,2,4,6
2019-09-18,3579,3,5,7,9
2019-09-19,7670,7,6,7,0
2019-09-20,2854,2,8,5,4
2019-09-21,4767,4,7,6,7
2019-09-22,7155,7,1,5,5
2019-09-23,9360,9,3,6,0
2019-09-24,7850,7,8,5,0
2019-09-25,2245,2,2,4,5
2019-09-26,7873,7,8,7,3
2019-09-27,2587,2,5,8,7
2019-09-28,2145,2,1,4,5
2019-09-29,8151,8,1,5,1
2019-09-30,9679,9,6,7,9
2019-10-01,4117,4,1,1,7
2019-10-02,7014,7,0,1,4
2019-10-03,0433,0,4,3,3
2019-10-04,9090,9,0,9,0
2019-10-05,3493,3,4,9,3
2019-10-06,1121,1,1,2,1
2019-10-07,3189,3,1,8,9
2019-10-08,3043,3,0,4,3
2019-10-09,6963,6,9,6,3
2019-10-10,5542,5,5,4,2
2019-10-11,5599,5,5,9,9
2019-10-12,8446,8,4,4,6
2019-10-13,9749,9,7,4,9
2019-10-14,4398,4,3,9,8
2019-10-15,9589,9,5,8,9
2019-10-16,8612,8,6,1,2
2019-10-17,6852,6,8,5,2
2019-10-18,2383,2,3,8,3
2019-10-19,1820,1,8,2,0
